City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Kapaa,US,83.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Hilo,US,81.81,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Rikitea,PF,76.55,light rain,-23.1203,-134.9692,Pension Maro'i
19,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
20,Atuona,PF,80.37,scattered clouds,-9.8,-139.0333,Villa Enata
24,Hithadhoo,MV,84.34,overcast clouds,-0.6,73.0833,Scoop Guest House
28,Kyaikkami,MM,79.83,overcast clouds,16.08,97.5675,Happy Family Kyaikkami
31,Bolobo,CD,75.18,overcast clouds,-2.1667,16.2333,Hotel de Stephen
37,Hambantota,LK,80.69,overcast clouds,6.1241,81.1185,Bungalow 63
38,Sorong,ID,77.16,overcast clouds,-0.8833,131.25,waigo splash hotel
39,Stillwater,US,81.01,few clouds,36.1156,-97.0584,Hampton Inn & Suites Stillwater
41,Manokwari,ID,76.33,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
47,Sioux Lookout,CA,75.27,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
49,Kavieng,PG,78.19,light rain,-2.5744,150.7967,Nusa Island Retreat
52,Jamestown,US,83.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
57,Houston,US,84.34,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
62,Vanimo,PG,77.34,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
70,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
73,Lewistown,US,79.45,overcast clouds,40.5992,-77.5714,Quality Inn & Suites
76,Westport,US,80.02,broken clouds,41.1415,-73.3579,The Westport Inn
80,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
82,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
86,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
89,Caravelas,BR,75.09,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
91,Bethel,US,80.29,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
92,Faanui,PF,80.96,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Nurota,UZ,75.29,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
102,Ikom,NG,76.73,overcast clouds,5.9667,8.7063,Reho Farm & Resort
104,Bengkulu,ID,77.07,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
110,Sinnamary,GF,80.29,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
113,Karangasem,ID,79.68,broken clouds,-8.45,115.6167,Villa Campuhan
115,Auki,SB,77.94,light rain,-8.7676,160.7034,Auki Motel
117,Farmington,US,79.86,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
123,Salinas,US,83.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
130,Nhulunbuy,AU,77.61,few clouds,-12.2333,136.7667,East Arnhem Real Estate
135,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
139,Salinopolis,BR,81.75,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
140,Itarema,BR,79.16,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
141,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
143,Makakilo City,US,83.61,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
149,Akdepe,TM,78.89,clear sky,42.0551,59.3788,Мой дом
157,Salalah,OM,79.95,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
166,Buala,SB,80.73,light rain,-8.145,159.5921,Maringe Lagoon Lodge
